1/7/2020,Businesses that falls under the marine & offshore and process sectors will be required to submit details of the employees/workers (https://foodservices.gobusiness.gov.sg/exemptions/login).
22/7/2021,Retail establishments and lifestyle-related services are to comply with the following:
22/7/2021,Beauty services and/or activities that require customers to remove their masks must cease
